SYLLABARY,PRONUNCIATION,ACTOR,ACTEE,SET,IMP FORM SYLLABARY,IMP FORM ROMAN
"Ꭼ²Ꭹ̣²-, Ꭼ²Ꮖ͓-","Gv²gi²-, Gv²gw-",They,me,,,
Ꮣ¹Ꮒ²-,Da¹ni²-,They,them-animate,a,Ꮧ̣²Ꮒ²-,dị²ni²-
Ꮪ¹Ꮒ²-,Du¹ni²-,They,them-animate,b,Ꮷ¹Ꮒ²-,ju¹ni²-
Ꮣ¹Ꮒ²-,Da¹ni²-,They,them-inanimate,a,Ꮧ̣²Ꮒ²-,dị²ni²-
Ꮪ¹Ꮒ²-,Du¹ni²-,They,them-inanimate,b,Ꮷ¹Ꮒ²-,ju¹ni²-
Ꭰ¹Ꮎ̣²Ꮣ²[Ꮣ͓]-,A¹nạ²da²[d]-,They,themselves,a,,
Ꭴ¹Ꮎ̣²Ꮣ²[Ꮣ͓]-,U¹nạ²da²[d]-,They,themselves,b,,
Ꭺ²Ꭹ̣²Ꮒ²-,Go²gị²ni²-,They,"us, him and me",,,
Ꭺ²Ꭹ²-,Go²gi²-,They,"us, them and me",,,
Ꭸ²Ꭹ²-,Ge²gi²-,They,"us, you all and me",,,
Ꭸ²Ꭹ̣²Ꮒ²-,Ge²gị²ni²-,They,"us, you one and me",,,
Ꭸ²Ꮵ²-,Ge²ji²-,They,you all,,,
Ꭸ²Ꮳ̣²-,Ge²jạ²-,They,you one,,,
Ꭸ²ᏍᏗ²-,Ge²sdi²-,They,you two,,,
Ꮩ¹Ꭶ̣²Ꮣ²[Ꮣ͓]-,Do¹gạ²da²[d]-,"They and I, we",each other,b,Ꮶ¹Ꭶ̣²Ꮣ²-,jo¹gạ²da²[d]-
Ꮩ¹Ꮳ̣²Ꮣ²[Ꮣ͓]-,Do¹jạ²da²[d]-,"They and I, we",each other,a,Ꮶ¹Ꮳ̣²Ꮣ²-,jo¹jạ²da²[d]-
Ꭳ¹Ꮵ²-,O¹ji²-,"They and I, we",him,,,
Ꭳ¹Ꭹ²-,O¹gi²-,"They and I, we",it,b,,
Ꭳ¹Ꮵ²-,O¹ji²-,"They and I, we",it,a,,
Ꭳ¹Ꭶ̣²Ꮣ²[Ꮣ͓]-,O¹gạ²da²[d]-,"They and I, we",ourselves,b,,
Ꭳ¹Ꮳ̣²Ꮣ²[Ꮣ͓]-,O¹jạ²da²[d]-,"They and I, we",ourselves,a,,
Ꭺ²Ꮵ²-,Go²ji²-,"They and I, we",them-animate,,,
Ꮩ¹Ꭹ²-,Do¹gi²-,"They and I, we",them-inanimate,b,Ꮶ¹Ꭹ²-,jo¹gi²-
Ꮩ¹Ꮵ²-,Do¹ji²-,"They and I, we",them-inanimate,a,Ꮶ¹Ꮵ²-,jo¹ji²-
"Ꭲ¹Ꮸ²-, Ꭲ¹Ꮸ²Ꮿ͓-","I¹jv²-, I¹jv²y-","They and I, we",you all,,,
"Ꭲ¹Ꮸ²-, Ꭲ¹Ꮸ²Ꮿ͓-","I¹jv²-, I¹jv²y-","They and I, we",you one,,,
"Ꭲ¹Ꮸ²-, Ꭲ¹Ꮸ²Ꮿ͓-","I¹jv²-, I¹jv²y-","They and I, we",you two,,,
