SYLLABARY,PRONUNCIATION,ACTOR,ACTEE,SET,IMP FORM SYLLABARY,IMP FORM ROMAN
Ꭳ¹Ꭹ̣²Ꮎ̣²Ꮣ²[Ꮣ͓]-,O¹gị²nạ²da²[d]-,"He and I, we",ourselves,b,,
Ꭳ¹ᏍᏓ̣²Ꮣ²[Ꮣ͓]-,O¹sdạ²da²[d]-,"He and I, we",ourselves,a,,
Ꭳ¹Ꭶ̣²Ꮣ²[Ꮣ͓]-,O¹gạ²da²[d]-,"They and I, we",ourselves,b,,
Ꭳ¹Ꮳ̣²Ꮣ²[Ꮣ͓]-,O¹jạ²da²[d]-,"They and I, we",ourselves,a,,
Ꭲ¹Ꭶ̣²Ꮣ²[Ꮣ͓]-,I¹gạ²da²[d]-,"You all and I, we",ourselves,b,,
Ꭲ¹Ꮣ̣²Ꮣ²[Ꮣ͓]-,I¹dạ²da²[d]-,"You all and I, we",ourselves,a,,
Ꭲ¹Ꮎ̣²Ꮣ²[Ꮣ͓]-,I¹nạ²da²[d]-,"You one and I, we",ourselves,a,,
Ꭹ̣²Ꮎ̣²Ꮣ²[Ꮣ͓]-,Gị²nạ²da²[d]-,"You one and I, we",ourselves,b,,
"Ꮣ̣²-, Ꮥ²Ꭶ̣²-","Dạ²-, De²gạ²-",He,them-animate,a,"Ꮧ̣²-, Ꮧ̣²Ꭶ̣²-","Dị²-, Dị²gạ²-"
"Ꮪ²-, Ꮪ²Ꮹ͓-","Du²-, Du²w-",He,them-animate,b,"Ꮷ²-, Ꮷ²Ꮹ͓-","ju²-, ju²w-"
Ꭺ²ᏍᏗ²-,Go²sdi²-,"He and I, we",them-animate,,,
"Ꭶ̣²Ꮵ²-, ᎦᏥᏯ͓-","Gạ²ji-, Gạ²jiy-",I,them-animate,,,
Ꮣ¹Ꮒ²-,Da¹ni²-,They,them-animate,a,Ꮧ̣²Ꮒ²-,dị²ni²-
Ꮪ¹Ꮒ²-,Du¹ni²-,They,them-animate,b,Ꮷ¹Ꮒ²-,ju¹ni²-
Ꭺ²Ꮵ²-,Go²ji²-,"They and I, we",them-animate,,,
Ꭸ²Ꮵ²-,Ge²ji²-,You all,them-animate,,,
Ꭸ²Ꮧ̣²-,Ge²di²-,"You all and I, we",them-animate,,,
"Ꭶ̣²Ꭿ²-, Ꭶ̣²Ꭿ²Ꮿ͓-","Gạ²hi²-, Gạ²hi²y-",You one,them-animate,,,
Ꭸ²Ꮒ̣²-,Ge²ni²-,"You one and I, we",them-animate,,,
Ꭸ²ᏍᏗ²-,Ge²sdi²-,You two,them-animate,,,
"Ꮣ̣²-, Ꮥ²Ꭶ̣²-","Dạ²-, De²gạ²-",He,them-inanimate,a,"Ꮧ̣²-, Ꮧ̣²Ꭶ̣²-","Dị²-, Dị²gạ²-"
"Ꮪ²-, Ꮪ²Ꮹ͓-","Du²-, Du²w-",He,them-inanimate,b,"Ꮷ²-, Ꮷ²Ꮹ͓-","ju²-, ju²w-"
Ꮩ¹Ꭹ̣²Ꮒ²-,Do¹gị²ni²-,"He and I, we",them-inanimate,b,Ꮶ¹Ꭹ̣²Ꮒ²-,jo¹gị²ni²-
Ꮩ¹ᏍᏗ²-,Do¹sdi²-,"He and I, we",them-inanimate,a,Ꮶ¹ᏍᏗ²-,jo¹sdi²-
"Ꮣ¹Ꭹ²-, Ꮣ¹Ꮖ͓-","Da¹gị²-, Da¹gw-",I,them-inanimate,b,"Ꮧ̣¹Ꭹ̣²-, Ꮧ̣¹Ꮖ͓-","Dị¹gị²-, Dị¹gw-"
"Ꮥ²Ꮵ̣²-, Ꮥ²Ꭶ͓-","De²jị²-, De²g-",I,them-inanimate,a,"Ꮧ̣²Ꮵ̣²-, Ꮧ̣²Ꭶ͓-","Dị²jị²-, Dị²g-"
Ꮣ¹Ꮒ²-,Da¹ni²-,They,them-inanimate,a,Ꮧ̣²Ꮒ²-,dị²ni²-
Ꮪ¹Ꮒ²-,Du¹ni²-,They,them-inanimate,b,Ꮷ¹Ꮒ²-,ju¹ni²-
Ꮩ¹Ꭹ²-,Do¹gi²-,"They and I, we",them-inanimate,b,Ꮶ¹Ꭹ²-,jo¹gi²-
Ꮩ¹Ꮵ²-,Do¹ji²-,"They and I, we",them-inanimate,a,Ꮶ¹Ꮵ²-,jo¹ji²-
Ꮥ³Ꮵ̣²-,De³ji²-,You all,them-inanimate,,Ꮧ̣²Ꮵ̣²-,Dị²ji²-
Ꮥ³Ꭹ²-,De³gi²-,"You all and I, we",them-inanimate,b,Ꮧ̣²Ꭹ²-,Dị²gi²-
Ꮥ³Ꮧ̣²-,De³di²-,"You all and I, we",them-inanimate,a,Ꮧ̣²Ꮧ̣²-,Dị²di²-
Ꮥ²Ꭿ̣²-,De²hị²-,You one,them-inanimate,a,Ꮨ̣²-,tị²-
Ꮥ²Ꮳ̣²-,De²jạ²-,You one,them-inanimate,b,Ꮧ̣²Ꮳ̣²-,Dị²jạ²-
Ꮥ²Ꭹ̣²Ꮒ²-,De²gị²ni²-,"You one and I, we",them-inanimate,b,Ꮧ̣²Ꭹ̣²Ꮒ²-,Dị²gị²ni²-
Ꮥ³Ꮒ̣²-,De³ni²-,"You one and I, we",them-inanimate,a,Ꮧ̣³Ꮒ̣²-,Dị'³ni²-
Ꮥ²ᏍᏗ²-,De²sdi²-,You two,them-inanimate,,Ꮧ̣²ᏍᏗ²-,Dị²sdi²-
Ꭰ¹Ꮎ̣²Ꮣ²[Ꮣ͓]-,A¹nạ²da²[d]-,They,themselves,a,,
Ꭴ¹Ꮎ̣²Ꮣ²[Ꮣ͓]-,U¹nạ²da²[d]-,They,themselves,b,,
"Ꭸ²Ꮵ²-, Ꭸ²Ꭶ͓-","Ge²ji²-, Ge²g-",,They,,,
Ꭳ¹Ꭹ²-,O¹gi²-,,"They and I, we",,,
Ꭳ¹Ꭹ̣²Ꮒ²-,O¹gị²ni²-,He,"us, him and me",,,
Ꭺ²Ꭹ̣²Ꮒ²-,Go²gị²ni²-,They,"us, him and me",,,
"Ꭲ¹ᏍᎩ²-, Ꭲ¹ᏍᎩ²Ꮿ͓-","I¹sgi²-, I¹sgi²y-",You all,"us, him and me",,,
ᏍᎩ̣²Ꮒ²-,Sgị²ni²-,You one,"us, him and me",,,
ᏍᎩ̣²Ꮒ²-,Sgi²̣ni²-,You two,"us, him and me",,,
Ꭳ¹Ꭹ²-,O¹gi²-,He,"us, them and me",,,
Ꭺ²Ꭹ²-,Go²gi²-,They,"us, them and me",,,
"Ꭲ¹ᏍᎩ²-, Ꭲ¹ᏍᎩ²Ꮿ͓-","I¹sgi²-, I¹sgi²y-",You all,"us, them and me",,,
"Ꭲ¹ᏍᎩ²-, Ꭲ¹ᏍᎩ²Ꮿ͓-","I¹sgi²-, I¹sgi²y-",You one,"us, them and me",,,
